original_index,question,cypher,typeql,warnings
295,Show all hashtags that have appeared in more than 5 tweets mentioning 'Neo4j'.,"MATCH (t:Tweet)-[:MENTIONS]->(:User {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)-[:TAGS]->(h:Hashtag)
WITH h, count(tweet) AS tweet_count
WHERE tweet_count > 5
RETURN h.name AS hashtag, tweet_count
ORDER BY tweet_count DESC","match
  $tweet isa tweet, has text $text;
  $text like "".*Neo4j.*"";
  tags (tagged_tweet: $tweet, tag: $tag);
reduce $count = count groupby $tag;
match
  $count > 5;
fetch {
  ""tag"": $tag.hashtag_name,
  ""appearances_with_neo4j"": $count
};",cypher_structural_issue: Cypher has questionable pattern (User)-[:POSTS]-> after MENTIONS - TypeQL may use different semantics
296,List the top 5 users who have a similar betweenness to 'Neo4j'.,"MATCH (me:Me {name: 'Neo4j'}), (u:User)
WHERE u.betweenness IS NOT NULL
WITH me, u
ORDER BY abs(me.betweenness - u.betweenness) 
LIMIT 5
RETURN u.name AS user, u.betweenness AS betweenness","match
$neo4j isa me, has name ""Neo4j"", has betweenness $neo4j_betweenness;
$user isa user, has betweenness $betweenness;
not { $neo4j is $user; };
let $difference = abs($betweenness - $neo4j_betweenness);
sort $difference asc;
limit 5;
fetch {
  ""user"": $user.name
};",wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
328,Who are the top 5 followers of 'Neo4j' based on the number of statuses they have?,"MATCH (me:Me {screen_name: 'neo4j'})<-[:FOLLOWS]-(follower:User)
RETURN follower.screen_name AS follower, follower.statuses AS num_statuses
ORDER BY follower.statuses DESC
LIMIT 5","match
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $follower, followed: $me);
  $follower has screen_name $sn, has statuses $statuses;
sort $statuses desc;
limit 5;
fetch { ""follower"": $sn, ""num_statuses"": $statuses };",wrong_return_attribute: Question asks for 'followers' but not in fetch clause
330,Which users have the highest following to follower ratio?,"MATCH (u:User)
WHERE u.followers IS NOT NULL AND u.following IS NOT NULL
RETURN u.screen_name AS user, 
       toFloat(u.following) / u.followers AS followingToFollowerRatio
ORDER BY followingToFollowerRatio DESC
LIMIT 10","with fun follower_count($user: user) -> integer:
  match follows (followed: $user);
  return count;
with fun follows_count($user: user) -> integer:
  match follows (follower: $user);
  return count;
match
$user isa user;
let $followers = follower_count($user);
let $follows = follows_count($user);
$followers > 0;
$follows > 0;
let $ratio = $follows / $followers;
sort $ratio desc;
limit 10;
fetch {
  ""user"": $user.name,
  ""ratio"": $ratio
};",wrong_return_attribute: Question asks for 'following' but not in fetch clause
333,Which tweets from 'Neo4j' mention other users and what are these users' screen names?,"MATCH (me:Me {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)-[:MENTIONS]->(mentioned:User)
RETURN tweet.text AS tweet, mentioned.screen_name AS mentioned_user","match
  $me isa me, has screen_name ""neo4j"";
  posts (author: $me, content: $tweet);
  mentions (source_tweet: $tweet, mentioned_user: $mentioned);
  $tweet has text $text;
  $mentioned has screen_name $sn;
fetch { ""tweet"": $text, ""mentioned_user"": $sn };",wrong_return_attribute: Question asks for 'screen name' but not in fetch clause; wrong_return_attribute: Question asks for 'name' but not in fetch clause
335,List the 5 most recent users who started following 'Neo4j'.,"MATCH (u:User)-[:FOLLOWS]->(me:Me {screen_name: 'neo4j'})
RETURN u.screen_name, u.name
ORDER BY u.following DESC
LIMIT 5","match
  $u isa user, has screen_name $sn, has name $name, has following $following;
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $u, followed: $me);
sort $following desc;
limit 5;
fetch { ""screen_name"": $sn, ""name"": $name };",wrong_return_attribute: Question asks for 'following' but not in fetch clause
337,Which tweets have been replied to and have more than 50 favorites?,"MATCH (t:Tweet)-[:REPLY_TO]->(replied_to_tweet:Tweet)
WHERE t.favorites > 50
RETURN t, replied_to_tweet","match
  $t isa tweet, has favorites $favorites, has text $text1, has tweet_id $id1;
  $favorites > 50;
  reply_to (replying_tweet: $t, original_tweet: $replied_to_tweet);
  $replied_to_tweet has text $text2, has tweet_id $id2;
fetch { ""tweet_id"": $id1, ""text"": $text1, ""replied_to_id"": $id2, ""replied_to_text"": $text2 };",wrong_return_attribute: Question asks for 'favorites' but not in fetch clause
373,List all the tweets that link to a URL containing 'twitter.com'.,"MATCH (t:Tweet)-[:CONTAINS]->(l:Link)
WHERE l.url CONTAINS 'twitter.com'
RETURN t","match
  $t isa tweet, has text $text, has tweet_id $id;
  contains (containing_tweet: $t, contained_link: $l);
  $l has link_url $url;
  $url like "".*twitter\\.com.*"";
fetch { ""tweet_id"": $id, ""text"": $text };",wrong_return_attribute: Question asks for 'url' but not in fetch clause
386,List the first 3 users followed by 'neo4j' with a betweenness of zero.,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(followed:User)
WHERE followed.betweenness = 0
RETURN followed.screen_name
LIMIT 3","match
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $me, followed: $followed);
  $followed has screen_name $sn, has betweenness 0.0;
limit 3;
fetch { ""screen_name"": $sn };",wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
402,Find the first 3 users who follow 'neo4j' and have a betweenness greater than 100 million.,"MATCH (u:User)-[:FOLLOWS]->(:Me {screen_name: 'neo4j'})
WHERE u.betweenness > 1E8
RETURN u
LIMIT 3","match
  $u isa user, has screen_name $sn, has name $name, has betweenness $betweenness;
  $betweenness > 100000000.0;
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $u, followed: $me);
limit 3;
fetch { ""screen_name"": $sn, ""name"": $name };",wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
414,Find all tweets from users who follow 'neo4j' and list the top 5.,"MATCH (u:User)-[:FOLLOWS]->(:Me {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)
RETURN t.text, t.favorites
ORDER BY t.favorites DESC
LIMIT 5","match
$neo4j isa user, has screen_name ""neo4j"";
$u isa user;
follows (follower: $u, followed: $neo4j);
$t isa tweet, has text $txt, has favorites $fav;
posts (author: $u, content: $t);
sort $fav desc;
limit 5;
fetch { ""text"": $txt, ""favorites"": $fav };","wrong_entity_type: Question refers to 'neo4j' which should use 'me' entity, not 'user'"
432,Find the first 3 users who have amplified tweets posted by 'neo4j'.,"MATCH (me:Me {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)<-[:AMPLIFIES]-(user:User)
RETURN user.screen_name, user.name
LIMIT 3","match
$me isa me, has screen_name ""neo4j"";
$tweet isa tweet;
posts (author: $me, content: $tweet);
retweets (original_tweet: $tweet, retweeting_tweet: $rt);
$user isa user, has screen_name $sn, has name $n;
posts (author: $user, content: $rt);
limit 3;
fetch { ""screen_name"": $sn, ""name"": $n };",semantic_substitution: Cypher uses AMPLIFIES but TypeQL uses retweets - may be semantically appropriate
456,Which hashtags have been tagged in tweets that have more than 200 favorites? List the top 3.,"MATCH (t:Tweet)-[:TAGS]->(h:Hashtag)
WHERE t.favorites > 200
RETURN h.name AS hashtag, count(*) AS tweet_count
ORDER BY tweet_count DESC
LIMIT 3","match
  $t isa tweet, has favorites $favorites;
  $favorites > 200;
  tags (tagged_tweet: $t, tag: $h);
  $h has hashtag_name $name;
reduce $count = count($t), groupby $name;
sort $count desc;
limit 3;
fetch { ""hashtag"": $name, ""tweet_count"": $count };",wrong_return_attribute: Question asks for 'favorites' but not in fetch clause
462,Who are the top 3 followers of 'Neo4j' based on betweenness centrality?,"MATCH (me:Me {screen_name: 'neo4j'})<-[:FOLLOWS]-(follower:User)
WHERE follower.betweenness IS NOT NULL
RETURN follower.screen_name AS follower, follower.betweenness AS betweenness
ORDER BY follower.betweenness DESC
LIMIT 3","match
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $follower, followed: $me);
  $follower has screen_name $sn, has betweenness $betweenness;
sort $betweenness desc;
limit 3;
fetch { ""follower"": $sn, ""betweenness"": $betweenness };",wrong_return_attribute: Question asks for 'followers' but not in fetch clause
463,List the names of the top 5 tweets that reply to another tweet and have more than 50 favorites.,"MATCH (t:Tweet)-[:REPLY_TO]->(:Tweet)
WHERE t.favorites > 50
RETURN t.text AS tweet_text
ORDER BY t.favorites DESC
LIMIT 5","match
  $t isa tweet, has text $text, has favorites $favorites;
  $favorites > 50;
  reply_to (replying_tweet: $t, original_tweet: $rt);
sort $favorites desc;
limit 5;
fetch { ""tweet_text"": $text };",wrong_return_attribute: Question asks for 'name' but not in fetch clause; wrong_return_attribute: Question asks for 'favorites' but not in fetch clause
470,Find the top 5 users who follow 'Neo4j' and are from the same location as 'Neo4j'.,"MATCH (u:User)-[:FOLLOWS]->(:Me {screen_name: 'neo4j'})
WHERE u.location IS NOT NULL AND u.location = 'Graphs Are Everywhere'
RETURN u.screen_name, u.name, u.followers
ORDER BY u.followers DESC
LIMIT 5","match
  $u isa user, has location ""Graphs Are Everywhere"", has screen_name $sn, has name $name, has followers $followers;
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $u, followed: $me);
sort $followers desc;
limit 5;
fetch { ""screen_name"": $sn, ""name"": $name, ""followers"": $followers };",wrong_return_attribute: Question asks for 'location' but not in fetch clause
475,What are the top 3 tweets posted by the user with the screen name 'neo4j'?,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)
RETURN t.text AS tweet_text, t.favorites AS favorites
ORDER BY t.favorites DESC
LIMIT 3","match
  $me isa me, has screen_name ""neo4j"";
  posts (author: $me, content: $t);
  $t has text $text, has favorites $favorites;
sort $favorites desc;
limit 3;
fetch { ""tweet_text"": $text, ""favorites"": $favorites };",wrong_return_attribute: Question asks for 'screen name' but not in fetch clause; wrong_return_attribute: Question asks for 'name' but not in fetch clause
478,List the top 5 tweets that mention the user with the screen name 'neo4j'.,"MATCH (t:Tweet)-[:MENTIONS]->(u:User {screen_name: 'neo4j'})
RETURN t.text AS tweet_text, t.favorites AS favorites
ORDER BY t.favorites DESC
LIMIT 5","match
  $t isa tweet, has text $text, has favorites $favorites;
  $me isa me, has screen_name ""neo4j"";
  mentions (source_tweet: $t, mentioned_user: $me);
sort $favorites desc;
limit 5;
fetch { ""tweet_text"": $text, ""favorites"": $favorites };",wrong_return_attribute: Question asks for 'screen name' but not in fetch clause; wrong_return_attribute: Question asks for 'name' but not in fetch clause
489,List the top 5 tweets by 'Me' using a specific source named 'Buffer'.,"MATCH (me:Me)-[:POSTS]->(tweet:Tweet)-[:USING]->(source:Source {name: 'Buffer'})
RETURN tweet.text, tweet.favorites
ORDER BY tweet.favorites DESC
LIMIT 5","match
  $me isa me;
  posts (author: $me, content: $tweet);
  using (tweet_content: $tweet, platform: $source);
  $source has source_name ""Buffer"";
  $tweet has text $text, has favorites $favorites;
sort $favorites desc;
limit 5;
fetch { ""text"": $text, ""favorites"": $favorites };",wrong_return_attribute: Question asks for 'name' but not in fetch clause
490,Which users does 'Neo4j' follow that have a location set to 'Graphs Are Everywhere'?,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(user:User)
WHERE user.location = 'Graphs Are Everywhere'
RETURN user","match
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $me, followed: $user);
  $user has location ""Graphs Are Everywhere"", has screen_name $sn, has name $name;
fetch { ""screen_name"": $sn, ""name"": $name };",wrong_return_attribute: Question asks for 'location' but not in fetch clause
491,List the first 3 tweets containing a hashtag named 'education'.,"MATCH (t:Tweet)-[:TAGS]->(:Hashtag {name: 'education'})
RETURN t.text AS tweet_text
LIMIT 3","match
  $t isa tweet, has text $text;
  tags (tagged_tweet: $t, tag: $h);
  $h has hashtag_name ""education"";
limit 3;
fetch { ""tweet_text"": $text };",wrong_return_attribute: Question asks for 'name' but not in fetch clause
